   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
 607,        184751,           91469,            281,     21039,        1776,         55,        369661,             600,            582,    26560,       5111,        61
 608,        185332,           91758,            281,     20674,        1740,         54,        370878,             604,            602,    26507,       5100,        61
 609,        186305,           92243,            283,     20589,        1764,         53,        372097,             598,            587,    26623,       5124,        60
 610,        186874,           92526,            282,     20275,        1763,         53,        373318,             596,            589,    26697,       5137,        61
 611,        187661,           92918,            283,     21862,        1757,         54,        374541,             608,            595,    26709,       5139,        65
 612,        188590,           93381,            287,     20493,        1794,         63,        375766,             603,            590,    26802,       5161,        64
 613,        189687,           93928,            288,     21855,        1725,         54,        376993,             607,            599,    26781,       5146,        62
 614,        190228,           94197,            289,     21024,        1815,         56,        378222,             607,            596,    26769,       5144,        62
 615,        190775,           94469,            288,     20582,        1779,         54,        379453,             605,            618,    26904,       5177,        65
 616,        191542,           94851,            604,     21193,        1783,        117,        380686,             609,            674,    26977,       5187,        64
 617,        192665,           95411,            290,     20803,        1774,         57,        381921,             611,            606,    27114,       5221,        63
 618,        193488,           95821,            292,     21346,        1771,         55,        383158,             609,            604,    26951,       5174,        62
 619,        193895,           96023,            293,     20927,        1768,         54,        384397,             613,            609,    27142,       5223,        63
 620,        193918,           96033,            293,     20945,        1780,         51,        385638,             613,            612,    27221,       5238,        62
 621,        194563,           96354,            295,     21655,        1812,         56,        386881,             617,            638,    27202,       5232,        65
 622,        194756,           96449,            295,     21569,        1810,         58,        388126,             617,            615,    27176,       5220,        62
 623,        195651,           96895,            304,     21757,        1776,         55,        389373,             618,            617,    27252,       5238,        62
 624,        196022,           97079,            296,     21217,        1781,         55,        390622,             618,            621,    27353,       5265,        63
 625,        196925,           97529,            298,     21228,        1822,         56,        391873,             618,            616,    27459,       5285,        62
 626,        197994,           98062,            299,     22871,        1778,         54,        393126,             622,            620,    27458,       5281,        64
 627,        198149,           98138,            299,     21247,        1858,         56,        394381,             620,            623,    27533,       5300,        63
 628,        198336,           98230,            300,     21034,        1846,         52,        395638,             622,            763,    27544,       5292,       116
 629,        198987,           98554,            540,     23868,        1764,        102,        396897,             622,            635,    27653,       5321,        65
 630,        199798,           98958,            305,     22422,        1770,         55,        398158,             621,            628,    27643,       5317,        63
 631,        200553,           99334,            303,     21838,        1822,         55,        399421,             627,            632,    27733,       5338,        63
 632,        200858,           99485,            303,     21696,        1841,         54,        400686,             625,            633,    27775,       5343,        63
 633,        201501,           99805,            305,     22663,        1786,         55,        401953,             631,            634,    27836,       5360,        64
 634,        202474,          100290,            305,     23745,        1797,         56,        403222,             625,            641,    27851,       5356,        63
 635,        202863,          100483,            307,     21135,        1843,         56,        404493,             625,            639,    27880,       5360,        63
 636,        203944,          101022,            307,     22548,        1841,         56,        405766,             629,            640,    28007,       5390,        63
 637,        204173,          101135,            309,     21609,        1862,         56,        407041,             628,            642,    28035,       5396,        65
 638,        204776,          101435,            309,     21066,        1848,         55,        408318,             630,            644,    28116,       5413,        65
 639,        205733,          101912,            311,     22506,        1864,         58,        409597,             631,            647,    28049,       5390,        64
 640,        205906,          101997,            313,     22718,        1873,         56,        410878,             634,            646,    28108,       5403,        65
 641,        206393,          102239,            316,     23465,        1830,         56,        412161,             636,            651,    28219,       5428,        67
 642,        207196,          102639,            312,     26624,        1836,         57,        413446,             635,            654,    28273,       5440,        65
 643,        207913,          102996,            315,     21688,        1847,         56,        414733,             632,            654,    28403,       5472,        65
 644,        207958,          103017,            313,     21184,        1864,         57,        416022,             633,            660,    28490,       5490,        65
 645,        208091,          103082,            314,     22895,        1868,         56,        417313,             640,            661,    28497,       5490,        66
 646,        208960,          103515,            317,     22356,        1884,         57,        418606,             636,            657,    28513,       5487,        65
 647,        210163,          104115,            319,     24265,        1848,         57,        419901,             639,            659,    28584,       5502,        66
 648,        210694,          104379,            319,     24228,        1850,         57,        421198,             641,            666,    28674,       5524,        66
 649,        211331,          104696,            325,     22389,        1898,         57,        422497,             645,            669,    28637,       5508,        65
 650,        211346,          104702,            321,     23042,        1885,         56,        423798,             647,            676,    28681,       5517,        64
 651,        212137,          105096,            321,     22290,        1933,         58,        425101,             643,            669,    28680,       5507,        65
 652,        212738,          105395,            319,     22876,        1922,         58,        426406,             646,            672,    28857,       5556,        66
 653,        213643,          105846,            323,     22163,        1902,         57,        427713,             645,            676,    28932,       5571,        66
 654,        213790,          105918,            322,     22166,        1923,         61,        429022,             651,            673,    28926,       5569,        66
 655,        214127,          106085,            324,     21888,        1948,         59,        430333,             652,            695,    28944,       5571,        66
