     n, heap_cmp, heap_swaps, heap_time
 71801,  5597586,    1095190,     10138
 71802,  5597426,    1095173,      7627
 71803,  5597020,    1095046,      7958
 71804,  5597439,    1095114,      7587
 71805,  5597772,    1095203,      7635
 71806,  5598072,    1095282,      7726
 71807,  5597890,    1095228,      8182
 71808,  5596946,    1095014,      7658
 71809,  5598371,    1095342,      9107
 71810,  5598047,    1095259,      8056
 71811,  5598112,    1095296,      8693
 71812,  5598366,    1095280,      8880
 71813,  5598687,    1095393,      8232
 71814,  5598223,    1095306,      7792
 71815,  5598348,    1095318,      7625
 71816,  5598082,    1095272,      7795
 71817,  5597705,    1095087,      7615
 71818,  5598447,    1095316,      7795
 71819,  5598671,    1095353,      7616
 71820,  5599103,    1095456,      9661
 71821,  5598320,    1095278,      7614
 71822,  5598515,    1095349,      8860
 71823,  5598222,    1095201,      8442
 71824,  5599337,    1095509,      8166
 71825,  5599270,    1095466,      7616
 71826,  5598947,    1095387,      7808
 71827,  5598853,    1095365,      7597
 71828,  5599095,    1095415,      8872
 71829,  5599593,    1095571,      9614
 71830,  5599893,    1095682,      8924
 71831,  5599929,    1095634,      7649
 71832,  5598711,    1095290,     10527
 71833,  5599995,    1095670,      8091
 71834,  5599302,    1095430,      7610
 71835,  5600148,    1095653,      8681
 71836,  5599731,    1095574,      8222
 71837,  5599983,    1095619,      7714
 71838,  5601355,    1096009,      7676
 71839,  5600633,    1095775,     13896
 71840,  5600010,    1095638,      7604
 71841,  5600611,    1095750,      7854
 71842,  5600618,    1095747,      8923
 71843,  5601122,    1095866,      8740
 71844,  5601264,    1095913,      7590
 71845,  5599890,    1095516,      9715
 71846,  5600181,    1095574,      8019
 71847,  5601854,    1096031,     11030
 71848,  5601078,    1095817,      8544
 71849,  5599853,    1095528,      8000
 71850,  5601775,    1095976,      9004
 71851,  5600833,    1095743,      7600
 71852,  5601710,    1096000,      7633
 71853,  5600791,    1095729,     16930
 71854,  5601413,    1095943,      9114
 71855,  5601317,    1095888,     10514
 71856,  5601540,    1095936,      7601
 71857,  5602143,    1096048,      7613
 71858,  5601988,    1095992,      7622
 71859,  5602240,    1096074,      7661
 71860,  5602916,    1096203,      7680
 71861,  5602275,    1096069,      8126
 71862,  5602044,    1095985,     18124
 71863,  5601886,    1095987,      7616
 71864,  5603101,    1096291,      7723
