   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
475,1874,226,2,9564,667,14,226573,136,356,20999,4091,30
476,1881,228,2,9614,669,14,227526,138,363,21074,4108,29
477,1884,228,2,9604,668,15,228481,138,363,21127,4119,30
478,1887,228,2,9623,671,15,229438,138,364,21163,4125,29
479,1892,229,2,9639,674,17,230397,139,365,21218,4136,29
480,1897,230,2,9647,673,14,231358,140,367,21257,4143,31
481,1906,233,3,9698,672,17,232321,139,368,21322,4157,32
482,1909,233,3,9742,677,16,233286,139,372,21357,4162,32
483,1912,233,2,9836,694,15,234253,139,373,21409,4173,32
484,1917,234,2,9848,692,15,235222,140,375,21487,4190,32
485,1922,235,2,9823,686,16,236193,141,374,21526,4197,31
486,1925,235,2,9819,685,15,237166,141,381,21579,4207,30
487,1928,235,2,9959,710,17,238141,141,378,21624,4217,31
488,1933,236,2,9975,713,14,239118,142,385,21682,4229,31
489,1936,236,2,9959,706,17,240097,142,381,21702,4231,32
490,1939,236,2,9967,705,14,241078,142,385,21760,4241,31
491,1944,237,2,9997,707,16,242061,143,384,21816,4254,31
492,1947,237,2,10033,711,15,243046,143,387,21879,4266,31
493,1952,238,2,10024,705,17,244033,144,388,21946,4281,31
494,1955,238,2,10052,710,14,245022,144,391,21971,4284,30
495,1958,238,2,10093,713,15,246013,144,387,22021,4295,30
496,1961,238,2,10104,712,15,247006,144,393,22051,4298,32
497,1964,238,2,10128,711,17,248001,144,394,22097,4306,32
498,1967,238,2,10128,710,16,248998,144,397,22174,4324,32
499,1972,239,2,10108,706,16,249997,145,397,22216,4332,33
500,1979,241,2,10161,707,15,250998,145,410,22269,4342,32
501,1986,243,2,10280,723,17,252001,147,400,22317,4351,31
502,1989,243,2,10240,716,15,253006,147,404,22331,4350,34
503,1992,243,2,10257,719,18,254013,147,403,22378,4359,33
504,1995,243,2,10280,719,16,255022,147,407,22447,4375,34
505,1998,243,2,10247,711,17,256033,147,406,22494,4383,33
506,2003,244,2,10285,715,16,257046,148,409,22547,4394,32
507,2010,246,3,10319,722,17,258061,148,409,22580,4398,32
508,2013,246,2,10310,719,15,259078,148,413,22642,4411,32
509,2016,246,2,10364,721,16,260097,148,413,22678,4417,32
510,2019,246,2,10381,722,14,261118,148,416,22761,4436,36
511,2022,246,2,10343,713,16,262141,148,450,22805,4445,32
512,2025,246,2,10361,713,16,263166,148,418,22889,4463,35
513,2030,247,2,10445,724,17,264193,149,421,22936,4473,36
514,2035,248,2,10478,728,15,265222,150,761,22992,4484,91
515,2044,251,10,10477,722,45,266253,149,848,23054,4497,86
516,2047,251,8,10522,730,38,267286,149,708,23124,4513,41
517,2050,251,3,10563,732,19,268321,149,427,23172,4520,39
518,2053,251,3,10612,736,17,269358,149,429,23217,4529,37
519,2060,253,3,10562,727,18,270397,151,438,23285,4542,37
520,2063,253,3,10566,727,14,271438,151,432,23322,4548,37
521,2066,253,2,10637,732,16,272481,151,432,23361,4555,37
522,2069,253,3,10629,731,15,273526,151,431,23441,4573,35
523,2074,254,3,10720,746,18,274573,152,434,23521,4590,35
524,2081,256,3,10769,749,15,275622,152,438,23563,4598,34
525,2090,259,3,10814,756,18,276673,153,439,23609,4606,34
526,2093,259,3,10838,760,16,277726,153,442,23672,4619,36
527,2096,259,3,10886,765,19,278781,153,444,23713,4625,35
528,2099,259,2,10869,758,15,279838,153,452,23783,4639,35
529,2102,259,3,10851,750,16,280897,153,448,23838,4651,35
530,2107,260,3,10845,751,16,281958,154,450,23919,4669,36
531,2110,260,3,10908,756,17,283021,154,449,23948,4673,36
532,2113,260,2,10930,758,15,284086,154,452,24002,4684,35
533,2116,260,2,11007,762,17,285153,154,453,24051,4693,35
534,2119,260,2,10978,761,16,286222,154,478,24106,4704,34
535,2122,260,3,10955,756,18,287293,154,458,24158,4714,34
536,2127,261,3,10995,759,15,288366,155,459,24207,4723,35
537,2134,263,3,10965,753,16,289441,155,461,24274,4738,36
538,2137,263,3,11023,759,15,290518,155,462,24332,4749,35
539,2140,263,2,11121,765,18,291597,155,466,24360,4752,36
540,2143,263,3,11148,769,18,292678,155,461,24428,4767,35
541,2146,263,3,11114,762,18,293761,155,473,24501,4783,35
542,2149,263,3,11148,770,16,294846,155,471,24566,4795,36
543,2152,263,3,11144,768,17,295933,155,470,24588,4799,35
544,2155,263,3,11173,771,16,297022,155,473,24634,4806,36
545,2158,263,3,11237,769,18,298113,155,473,24707,4822,37
546,2161,263,3,11301,777,16,299206,155,477,24750,4830,38
547,2166,264,2,11304,776,18,300301,156,473,24786,4833,37
548,2173,266,3,11345,782,16,301398,156,479,24856,4848,36
549,2182,269,2,11350,779,19,302497,157,483,24918,4861,36
550,2193,273,3,11325,772,17,303598,157,482,24972,4871,35
551,2196,273,2,11344,776,16,304701,157,485,25007,4878,36
552,2199,273,2,11413,785,15,305806,157,486,25081,4895,36
553,2202,273,2,11425,787,18,306913,157,489,25143,4907,35
554,2205,273,3,11483,792,17,308022,157,491,25207,4919,37
555,2210,274,3,11479,787,18,309133,158,491,25267,4932,37
556,2213,274,3,11451,779,16,310246,158,495,25311,4940,37
557,2216,274,3,11518,787,18,311361,158,495,25362,4948,36
558,2225,277,3,11517,786,17,312478,161,498,25424,4961,35
559,2228,277,3,11660,806,19,313597,161,500,25459,4967,36
560,2231,277,3,11661,805,18,314718,161,497,25546,4987,36
561,2234,277,3,11701,810,17,315841,161,503,25584,4993,37
562,2237,277,3,11726,809,17,316966,161,500,25632,5001,38
563,2240,277,3,11680,806,20,318093,161,506,25658,5005,38
564,2243,277,3,11640,792,17,319222,161,508,25731,5021,38
565,2246,277,3,11660,794,17,320353,161,505,25789,5032,37
566,2249,277,3,11689,798,16,321486,161,513,25848,5044,38
567,2252,277,3,11707,797,19,322621,161,513,25896,5052,37
568,2255,277,3,11745,799,16,323758,161,514,25969,5069,37
569,2260,278,3,11716,797,20,324897,162,517,26011,5075,40
570,2263,278,3,11779,805,20,326038,162,567,26073,5088,39
571,2266,278,3,11790,805,19,327181,162,520,26121,5096,37
572,2269,278,3,11818,801,18,328326,162,527,26172,5107,37
573,2272,278,3,11817,802,19,329473,162,524,26238,5121,38
574,2275,278,3,11861,810,17,330622,162,530,26282,5127,37
575,2278,278,3,11965,820,18,331773,162,532,26312,5131,38
576,2283,279,3,11938,811,18,332926,163,528,26348,5139,40
577,2288,280,3,11955,810,19,334081,164,532,26397,5146,40
578,2295,282,3,11985,810,18,335238,164,535,26479,5164,39
579,2298,282,3,12015,815,19,336397,164,536,26521,5172,40
580,2301,282,3,12027,818,18,337558,164,536,26586,5187,40
581,2304,282,3,12035,823,17,338721,164,540,26636,5197,40
582,2309,283,3,12120,834,18,339886,165,540,26687,5206,42
583,2312,283,3,12115,826,18,341053,165,542,26754,5220,38
584,2315,283,3,12137,827,17,342222,165,548,26799,5226,39
585,2318,283,3,12112,823,19,343393,165,546,26844,5235,40
586,2325,285,3,12116,822,18,344566,167,547,26902,5246,39
587,2328,285,3,12205,836,19,345741,167,555,26958,5258,39
588,2331,285,3,12221,832,18,346918,167,552,27028,5273,40
589,2334,285,3,12257,835,20,348097,167,553,27063,5278,39
590,2341,287,3,12320,843,17,349278,169,673,27134,5293,39
591,2344,287,3,12350,847,19,350461,169,584,27168,5299,53
592,2347,287,6,12354,848,28,351646,169,616,27240,5313,53
593,2350,287,5,12322,836,24,352833,169,562,27281,5321,50
594,2355,288,4,12334,836,20,354022,170,562,27371,5341,47
595,2360,289,4,12321,835,21,355213,171,566,27397,5344,46
596,2363,289,4,12327,834,18,356406,171,563,27446,5354,46
597,2366,289,3,12348,825,20,357601,171,564,27512,5368,45
598,2369,289,3,12413,841,19,358798,171,572,27569,5379,44
599,2372,289,3,12436,842,19,359997,171,574,27641,5394,44
600,2375,289,3,12463,845,17,361198,171,574,27659,5394,44
601,2378,289,3,12444,836,19,362401,171,578,27726,5409,44
